ENTRY,ENV,REP,GEN,Female,Male,Female x Male,Yield t/ha,yield g/plant (g),Plant Number,Ear weight (g),grain weight (g),Plant Height (m),Culm Diameter (cm),F. D. Female,F. D. Male,Dry matter mass (g),Root Weight (g)
294,CHOKWE STS,III,44,CML366,MOZL10,CML366 x MOZL10,5.88,110,12,1364,1324,1.39,3.22,26/09,22/09,181,24
295,CHOKWE STS,III,0,Check,Check,NAMULONGUE,3.43,64,12,1031,771,1.15,3.2,28/09,27/09,234,44
296,CHOKWE STS,III,45,CML434,MOZL10,CML434 x MOZL10,9.48,178,11,2181,1956,0.98,3.23,24/09,29/09,163,28
297,CHOKWE STS,III,29,CML364,MOZL8,CML364 x MOZL8,10.19,191,21,1038,4013,0.79,3.17,21/09,24/09,105,28
298,CHOKWE STS,III,48,CML530,MOZL10,CML530 x MOZL10,10.19,191,11,2373,2102,1.89,3.2,23/09,29/09,123,35
299,CHOKWE STS,III,24,CML434,MOZL7,CML434 x MOZL7,6.09,114,13,1763,1484,1.31,3.2,22/09,24/09,69,28
300,CHOKWE STS,III,13,CML530,MOZL5,CML530 x MOZL5,6.36,119,16,2410,1909,1.38,3.2,24/09,22/09,129,41
301,NHACOONGO,I,45,CML434,MOZL10,CML434 x MOZL10,4.93,92,19,2220,1755,1.23,3.22,11-Oct,8-Oct,165,24
302,NHACOONGO,I,2,CML366,MOZL3,CML366 x MOZL3,7.52,141,18,2564,2537,1.31,3.28,12-Oct,9-Oct,104,35
303,NHACOONGO,I,37,CML366,MOZL9,CML366 x MOZL9,5.25,98,20,1943,1967,1.22,3.25,11-Oct,7-Oct,174,27
304,NHACOONGO,I,16,CML366,MOZL6,CML366 x MOZL6,5.83,109,19,2454,2077,1.36,3.33,12-Oct,7-Oct,198,43
305,NHACOONGO,I,26,CML439,MOZL7,CML439 x MOZL7,6.41,120,21,3187,2522,1.45,2.95,10-Oct,7-Oct,120,31
306,NHACOONGO,I,40,CML439,MOZL9,CML439 x MOZL9,8.22,154,10,1872,1542,1.25,2.81,5-Oct,1-Oct,181,20
307,NHACOONGO,I,7,CML532,MOZL3,CML532 x MOZL3,8.46,159,3,626,476,1.33,2.57,8-Oct,5-Oct,159,35
308,NHACOONGO,I,28,CML532,MOZL7,CML532 x MOZL7,5.79,109,10,1450,1086,1.28,2.8,13-Oct,12-Oct,181,21
309,NHACOONGO,I,10,CML434,MOZL5,CML434 x MOZL5,6.58,123,25,4311,3082,1.29,2.66,8-Oct,5-Oct,170,22
310,NHACOONGO,I,19,CML439,MOZL6,CML439 x MOZL6,6.78,127,23,3612,2922,1.41,2.31,6-Oct,5-Oct,131,13
311,NHACOONGO,I,35,CML532,MOZL8,CML532 x MOZL8,5.34,100,13,1595,1301,1.26,2.34,8-Oct,7-Oct,149,13
312,NHACOONGO,I,49,CML532,MOZL10,CML532 x MOZL10,7.44,140,17,2553,2373,1.51,2.19,6-Oct,4-Oct,107,18
313,NHACOONGO,I,29,CML364,MOZL8,CML364 x MOZL8,8.59,161,17,2880,2738,1.34,2.92,10-Oct,9-Oct,177,22
314,NHACOONGO,I,14,CML532,MOZL5,CML532 x MOZL5,9.89,185,16,3090,2967,1.45,2.68,9-Oct,4-Oct,143,41
315,NHACOONGO,I,48,CML530,MOZL10,CML530 x MOZL10,9.35,175,18,3815,3157,1.3,2.64,7-Oct,4-Oct,157,43
316,NHACOONGO,I,30,CML366,MOZL8,CML366 x MOZL8,9.33,175,13,2054,2273,1.35,2.18,6-Oct,4-Oct,188,35
317,NHACOONGO,I,4,CML435,MOZL3,CML435 x MOZL3,6.22,117,20,2172,2332,1.51,2.96,7-Oct,5-Oct,169,19
318,NHACOONGO,I,17,CML434,MOZL6,CML434 x MOZL6,5.23,98,17,2025,1667,1.41,3.04,7-Oct,6-Oct,169,38
319,NHACOONGO,I,9,CML366,MOZL5,CML366 x MOZL5,7.77,146,18,2212,2623,1.46,3.27,9-Oct,8-Oct,190,41
320,NHACOONGO,I,43,CML364,MOZL10,CML364 x MOZL10,5.7,107,25,3203,2671,1.34,2.94,6-Oct,4-Oct,123,36
321,NHACOONGO,I,13,CML530,MOZL5,CML530 x MOZL5,6.79,127,14,2152,1782,1.28,2.87,6-Oct,4-Oct,179,20
322,NHACOONGO,I,32,CML435,MOZL8,CML435 x MOZL8,6.52,122,10,1644,1222,1.57,2.41,12-Oct,9-Oct,174,39
323,NHACOONGO,I,22,CML364,MOZL7,CML364 x MOZL7,7.91,148,19,3213,2817,1.29,2.69,6-Oct,4-Oct,176,31
324,NHACOONGO,I,39,CML435,MOZL9,CML435 x MOZL9,9.69,182,15,2923,2725,1.39,1.76,5-Oct,4-Oct,204,30
325,NHACOONGO,I,47,CML439,MOZL10,CML439 x MOZL10,7.78,146,17,2832,2481,1.44,1.73,11-Oct,8-Oct,128,16
326,NHACOONGO,I,25,CML435,MOZL7,CML435 x MOZL7,5.46,102,13,1702,1330,1.35,2.79,13-Oct,10-Oct,176,37
327,NHACOONGO,I,36,CML364,MOZL9,CML364 x MOZL9,7.78,146,19,2693,2771,1.46,2.91,6-Oct,5-Oct,224,25
328,NHACOONGO,I,5,CML439,MOZL3,CML439 x MOZL3,6.16,115,12,1699,1385,1.36,2.22,8-Oct,6-Oct,191,13
329,NHACOONGO,I,41,CML530,MOZL9,CML530 x MOZL9,5.25,98,18,2185,1772,1.22,2.72,10-Oct,8-Oct,86,18
330,NHACOONGO,I,15,CML364,MOZL6,CML364 x MOZL6,4.41,83,21,1897,1735,1.47,2.77,11-Oct,7-Oct,160,19
331,NHACOONGO,I,31,CML434,MOZL8,CML434 x MOZL8,5.37,101,25,2434,2519,1.22,3.06,9-Oct,6-Oct,105,14
332,NHACOONGO,I,21,CML532,MOZL6,CML532 x MOZL6,4.34,81,22,1953,1790,1.34,2.69,12-Oct,11-Oct,184,26
333,NHACOONGO,I,33,CML439,MOZL8,CML439 x MOZL8,9.34,175,16,3195,2802,1.39,2.76,5-Oct,4-Oct,210,34
334,NHACOONGO,I,44,CML366,MOZL10,CML366 x MOZL10,6.35,119,25,3175,2978,1.26,2.4,10-Oct,7-Oct,173,41
335,NHACOONGO,I,11,CML435,MOZL5,CML435 x MOZL5,7.12,134,11,1800,1469,1.14,2.54,10-Oct,7-Oct,175,36
336,NHACOONGO,I,8,CML364,MOZL5,CML364 x MOZL5,5.48,103,12,1514,1232,1.33,2.61,12-Oct,10-Oct,144,35
337,NHACOONGO,I,38,CML434,MOZL9,CML434 x MOZL9,5.11,96,22,2512,2106,1.3,3.18,12-Oct,10-Oct,117,33
338,NHACOONGO,I,24,CML434,MOZL7,CML434 x MOZL7,5,94,21,2476,1968,1.34,3.24,12-Oct,10-Oct,80,21
339,NHACOONGO,I,3,CML434,MOZL3,CML434 x MOZL3,4.54,85,22,2309,1873,1.28,3.27,12-Oct,8-Oct,155,39
340,NHACOONGO,I,6,CML530,MOZL3,CML530 x MOZL3,3.56,67,26,2054,1736,1.34,3.3,12-Oct,10-Oct,114,28
341,NHACOONGO,I,27,CML530,MOZL7,CML530 x MOZL7,4.58,86,25,2243,2145,1.36,3.29,12-Oct,12-Oct,271,37
342,NHACOONGO,I,42,CML532,MOZL9,CML532 x MOZL9,3.03,57,25,1730,1420,1.34,3.31,16-Oct,13-Oct,109,16
343,NHACOONGO,I,34,CML530,MOZL8,CML530 x MOZL8,4.53,85,24,3444,2037,1.34,3.04,7-Oct,6-Oct,134,21
344,NHACOONGO,I,18,CML435,MOZL6,CML435 x MOZL6,5.66,106,22,2292,2335,1.29,3.25,8-Oct,6-Oct,138,22
345,NHACOONGO,I,1,CML364,MOZL3,CML364 x MOZL3,5.54,104,24,2496,2494,1.38,3.05,10-Oct,9-Oct,129,20
346,NHACOONGO,I,46,CML435,MOZL10,CML435 x MOZL10,5.86,110,22,2267,2418,1.23,3.09,6-Oct,5-Oct,74,19
347,NHACOONGO,I,23,CML366,MOZL7,CML366 x MOZL7,7.31,137,19,2293,2603,1.54,3.17,12-Oct,9-Oct,56,31
348,NHACOONGO,I,12,CML439,MOZL5,CML439 x MOZL5,3.62,68,25,2096,1699,1.08,3.3,8-Oct,6-Oct,170,34
349,NHACOONGO,I,0,Check,Check,NAMULONGUE,4.73,4.73,4.73,4.73,4.73,4.73,4.73,9-Oct,7-Oct,4.73,4.73
350,NHACOONGO,I,20,CML530,MOZL6,CML530 x MOZL6,3.51,66,14,1162,921,1.25,3.24,13-Oct,10-Oct,77,14
351,NHACOONGO,II,19,CML439,MOZL6,CML439 x MOZL6,3.03,57,23,1594,1307,2.13,3.23,11-Oct,7-Oct,65,8
352,NHACOONGO,II,1,CML364,MOZL3,CML364 x MOZL3,2.79,52,24,1525,1256,1.32,3.22,11-Oct,10-Oct,147,25
353,NHACOONGO,II,23,CML366,MOZL7,CML366 x MOZL7,2.66,50,20,1279,996,1.48,3.31,11-Oct,7-Oct,115,14
354,NHACOONGO,II,3,CML434,MOZL3,CML434 x MOZL3,5.65,106,17,1364,1801,1.36,3.3,10-Oct,6-Oct,174,31
355,NHACOONGO,II,39,CML435,MOZL9,CML435 x MOZL9,6.35,119,16,2193,1906,1.24,3.1,6-Oct,4-Oct,66,13
356,NHACOONGO,II,37,CML366,MOZL9,CML366 x MOZL9,4.77,89,14,1488,1252,1.3,2.99,8-Oct,4-Oct,40,8
357,NHACOONGO,II,15,CML364,MOZL6,CML364 x MOZL6,4.51,85,8,822,676,1.25,2.84,13-Oct,9-Oct,43,8
358,NHACOONGO,II,20,CML530,MOZL6,CML530 x MOZL6,5.29,99,11,1328,1091,1.36,3.12,12-Oct,7-Oct,53,6
359,NHACOONGO,II,8,CML364,MOZL5,CML364 x MOZL5,4.97,93,29,2946,2705,1.33,3.56,12-Oct,7-Oct,47,6
360,NHACOONGO,II,33,CML439,MOZL8,CML439 x MOZL8,6.29,118,21,2786,2477,1.26,3.09,5-Oct,4-Oct,67,7
361,NHACOONGO,II,35,CML532,MOZL8,CML532 x MOZL8,4.64,87,24,1737,2088,1.19,2.81,7-Oct,6-Oct,187,27
362,NHACOONGO,II,11,CML435,MOZL5,CML435 x MOZL5,5.25,98,23,2072,2263,1.23,2.59,7-Oct,4-Oct,64,6
363,NHACOONGO,II,28,CML532,MOZL7,CML532 x MOZL7,4,75,23,2245,1725,1.35,3.24,12-Oct,9-Oct,88,17
364,NHACOONGO,II,43,CML364,MOZL10,CML364 x MOZL10,3.24,61,19,1439,1155,1.23,2.82,11-Oct,9-Oct,62,9
365,NHACOONGO,II,38,CML434,MOZL9,CML434 x MOZL9,3.27,61,21,1559,1288,1.34,2.7,12-Oct,8-Oct,93,11
366,NHACOONGO,II,7,CML532,MOZL3,CML532 x MOZL3,3,56,23,1709,1292,1.23,2.93,11-Oct,9-Oct,69,10
367,NHACOONGO,II,16,CML366,MOZL6,CML366 x MOZL6,4.26,80,25,2395,1995,1.33,2.69,9-Oct,6-Oct,48,11
368,NHACOONGO,II,40,CML439,MOZL9,CML439 x MOZL9,4.54,85,26,2283,2215,1.18,2.63,6-Oct,4-Oct,60,9
369,NHACOONGO,II,25,CML435,MOZL7,CML435 x MOZL7,8.69,163,10,2036,1629,1.33,2.6,10-Oct,7-Oct,113,23
370,NHACOONGO,II,18,CML435,MOZL6,CML435 x MOZL6,4.1,77,25,2364,1924,1.25,2.92,10-Oct,7-Oct,75,9
371,NHACOONGO,II,6,CML530,MOZL3,CML530 x MOZL3,5.07,95,15,1799,1426,1.28,2.61,12-Oct,6-Oct,70,12
372,NHACOONGO,II,21,CML532,MOZL6,CML532 x MOZL6,6.84,128,11,1371,1411,1.32,2.84,12-Oct,10-Oct,77,19
373,NHACOONGO,II,31,CML434,MOZL8,CML434 x MOZL8,4.92,92,25,2755,2308,1.29,2.82,8-Oct,6-Oct,66,9
374,NHACOONGO,II,2,CML366,MOZL3,CML366 x MOZL3,5.38,101,22,2474,2219,1.43,2.82,10-Oct,6-Oct,105,10
375,NHACOONGO,II,26,CML439,MOZL7,CML439 x MOZL7,6.22,117,19,2810,2216,1.39,2.82,13-Oct,9-Oct,124,31
376,NHACOONGO,II,9,CML366,MOZL5,CML366 x MOZL5,6.29,118,24,3332,2830,1.39,3.06,9-Oct,5-Oct,69,12
377,NHACOONGO,II,42,CML532,MOZL9,CML532 x MOZL9,5.61,105,23,2451,2418,1.32,2.86,8-Oct,6-Oct,85,15
378,NHACOONGO,II,22,CML364,MOZL7,CML364 x MOZL7,3.21,60,26,2013,1567,1.32,2.44,12-Oct,11-Oct,92,13
379,NHACOONGO,II,47,CML439,MOZL10,CML439 x MOZL10,5.7,107,20,1768,2136,1.47,2.86,13-Oct,10-Oct,93,9
380,NHACOONGO,II,30,CML366,MOZL8,CML366 x MOZL8,3.24,61,23,1895,1398,1.83,2.22,8-Oct,7-Oct,151,34
381,NHACOONGO,II,12,CML439,MOZL5,CML439 x MOZL5,5.38,101,25,2661,2524,1.28,2.49,6-Oct,4-Oct,69,7
382,NHACOONGO,II,10,CML434,MOZL5,CML434 x MOZL5,5.22,98,28,2534,2742,1.27,2.48,6-Oct,5-Oct,96,18
383,NHACOONGO,II,27,CML530,MOZL7,CML530 x MOZL7,3.65,68,28,2393,1915,1.4,2.57,6-Oct,4-Oct,60,14
384,NHACOONGO,II,34,CML530,MOZL8,CML530 x MOZL8,7.36,138,11,2369,1518,1.4,2.56,11-Oct,10-Oct,68,12
385,NHACOONGO,II,14,CML532,MOZL5,CML532 x MOZL5,2.33,44,12,1786,524,1.25,2.09,5-Oct,4-Oct,71,18
386,NHACOONGO,II,46,CML435,MOZL10,CML435 x MOZL10,5.18,97,9,674,874,1.91,2.23,13-Oct,11-Oct,113,31
387,NHACOONGO,II,17,CML434,MOZL6,CML434 x MOZL6,6.71,126,11,1081,1383,1.27,2.6,12-Oct,10-Oct,65,10
388,NHACOONGO,II,36,CML364,MOZL9,CML364 x MOZL9,5.19,97,19,1787,1848,1.24,2.74,11-Oct,8-Oct,69,16
389,NHACOONGO,II,4,CML435,MOZL3,CML435 x MOZL3,5.89,111,14,2161,1547,1.23,2.63,9-Oct,8-Oct,85,17
390,NHACOONGO,II,32,CML435,MOZL8,CML435 x MOZL8,3.08,58,19,1953,1099,1.16,2.34,9-Oct,6-Oct,42,9
391,NHACOONGO,II,41,CML530,MOZL9,CML530 x MOZL9,2.07,39,16,1357,622,1.22,1.69,6-Oct,4-Oct,49,9
392,NHACOONGO,II,5,CML439,MOZL3,CML439 x MOZL3,2.75,51,17,836,875,1.21,2.56,12-Oct,9-Oct,39,6
393,NHACOONGO,II,44,CML366,MOZL10,CML366 x MOZL10,5.25,98,17,1098,1672,1.17,2.77,11-Oct,9-Oct,43,5
394,NHACOONGO,II,49,CML532,MOZL10,CML532 x MOZL10,6.37,119,14,2115,1672,1.13,2.75,12-Oct,10-Oct,36,10
395,NHACOONGO,II,45,CML434,MOZL10,CML434 x MOZL10,3.48,65,25,2028,1631,1.28,2.84,9-Oct,6-Oct,61,14
396,NHACOONGO,II,29,CML364,MOZL8,CML364 x MOZL8,5.26,99,19,2275,1873,1.28,2.84,8-Oct,6-Oct,72,13
397,NHACOONGO,II,48,CML530,MOZL10,CML530 x MOZL10,5.54,104,18,2060,1869,1.95,3.06,10-Oct,8-Oct,162,35
398,NHACOONGO,II,24,CML434,MOZL7,CML434 x MOZL7,4.12,77,26,2538,2009,1.23,3.08,15-Oct,10-Oct,97,11
399,NHACOONGO,II,0,Check,Check,NAMULONGUE,7.79,146,17.5,3658,2540,1.715,2.715,16-Oct,11-Oct,91.5,14.5
400,NHACOONGO,II,13,CML530,MOZL5,CML530 x MOZL5,1.96,37,13,691,478,1.23,3.07,11-Oct,9-Oct,107,28
401,NHACOONGO,III,25,CML435,MOZL7,CML435 x MOZL7,4.38,82,18,1869,1479.5,1.28,3.1,12-Oct,10-Oct,144,30
402,NHACOONGO,III,34,CML530,MOZL8,CML530 x MOZL8,4.51,85,21,2906.5,1777.5,1.23,3.07,7-Oct,5-Oct,101,25
403,NHACOONGO,III,40,CML439,MOZL9,CML439 x MOZL9,5.27,99,19,2077.5,1878.5,1.23,2.37,6-Oct,4-Oct,120,14
404,NHACOONGO,III,11,CML435,MOZL5,CML435 x MOZL5,4.33,81,23,1936,1866,2.09,2.8,8-Oct,6-Oct,120,26
405,NHACOONGO,III,49,CML532,MOZL10,CML532 x MOZL10,4.69,88,23,2334,2022.5,1.27,2.79,18-Oct,16-Oct,71,14
406,NHACOONGO,III,15,CML364,MOZL6,CML364 x MOZL6,4.95,93,13,1359.5,1205.5,1.21,2.89,18-Oct,16-Oct,102,14
407,NHACOONGO,III,6,CML530,MOZL3,CML530 x MOZL3,4.96,93,17,1926.5,1581,1.02,2.64,18-Oct,16-Oct,92,20
408,NHACOONGO,III,47,CML439,MOZL10,CML439 x MOZL10,4.74,89,26,2300,2308.5,1.13,2.93,12-Oct,8-Oct,110,13
409,NHACOONGO,III,9,CML366,MOZL5,CML366 x MOZL5,6.61,124,22,2772,2726.5,1.12,2.69,15-Oct,13-Oct,179,26
410,NHACOONGO,III,21,CML532,MOZL6,CML532 x MOZL6,5.69,107,15,1662,1600.5,1.12,2.39,12-Oct,9-Oct,130,23
411,NHACOONGO,III,39,CML435,MOZL9,CML435 x MOZL9,5.37,101,23,2558,2315.5,1.27,2.68,18-Oct,15-Oct,135,22
412,NHACOONGO,III,22,CML364,MOZL7,CML364 x MOZL7,4.68,88,25,2613,2192,1.11,2.1,9-Oct,6-Oct,134,22
413,NHACOONGO,III,13,CML530,MOZL5,CML530 x MOZL5,3.17,59,19,1421.5,1130,1.29,1.2,12-Oct,9-Oct,143,24
414,NHACOONGO,III,29,CML364,MOZL8,CML364 x MOZL8,5.86,110,21,2577.5,2305.5,1.24,2.69,12-Oct,9-Oct,125,17
415,NHACOONGO,III,42,CML532,MOZL9,CML532 x MOZL9,4.87,91,21,2090.5,1919,1.3,2.59,12-Oct,6-Oct,97,16
416,NHACOONGO,III,3,CML434,MOZL3,CML434 x MOZL3,5.44,102,18,1836.5,1837,1.3,2.97,12-Oct,10-Oct,164,35
417,NHACOONGO,III,16,CML366,MOZL6,CML366 x MOZL6,4.52,85,24,2424.5,2036,1.16,2.69,11-Oct,9-Oct,173,27
418,NHACOONGO,III,37,CML366,MOZL9,CML366 x MOZL9,4.09,77,21,1715.5,1609.5,1.21,2.62,15-Oct,14-Oct,107,17
419,NHACOONGO,III,45,CML434,MOZL10,CML434 x MOZL10,4.1,77,22,2124,1693,1.91,3.01,21-Oct,19-Oct,163,22
420,NHACOONGO,III,24,CML434,MOZL7,CML434 x MOZL7,5.3,99,20,2507,1988.5,1.21,2.66,15-Oct,13-Oct,89,16
421,NHACOONGO,III,48,CML530,MOZL10,CML530 x MOZL10,5.36,101,25,2437.5,2513,1.13,2.68,13-Oct,10-Oct,159,29
422,NHACOONGO,III,20,CML530,MOZL6,CML530 x MOZL6,2.98,56,18,1245,1006,1.15,2.75,14-Oct,12-Oct,65,10
423,NHACOONGO,III,5,CML439,MOZL3,CML439 x MOZL3,2.41,45,25,1267.5,1130,1.11,2.94,15-Oct,13-Oct,115,13
424,NHACOONGO,III,30,CML366,MOZL8,CML366 x MOZL8,4.26,80,23,1974.5,1835.5,1.92,2.89,17-Oct,15-Oct,219,35
425,NHACOONGO,III,14,CML532,MOZL5,CML532 x MOZL5,3.32,62,28,2438,1745.5,1.12,2.94,18-Oct,15-Oct,157,33
426,NHACOONGO,III,44,CML366,MOZL10,CML366 x MOZL10,5.17,97,24,2136.5,2325,1.07,2.54,11-Oct,7-Oct,108,31
427,NHACOONGO,III,19,CML439,MOZL6,CML439 x MOZL6,5.13,96,22,2603,2114.5,1.18,2.59,11-Oct,9-Oct,148,11
428,NHACOONGO,III,35,CML532,MOZL8,CML532 x MOZL8,3.61,68,25,1666,1694.5,1.12,2.64,16-Oct,15-Oct,168,20
429,NHACOONGO,III,28,CML532,MOZL7,CML532 x MOZL7,2.78,52,27,1847.5,1405.5,1.12,2.24,10-Oct,7-Oct,135,19
430,NHACOONGO,III,12,CML439,MOZL5,CML439 x MOZL5,5.36,101,21,2378.5,2111.5,1.31,2.52,15-Oct,13-Oct,120,31
431,NHACOONGO,III,7,CML532,MOZL3,CML532 x MOZL3,2.77,52,17,1167.5,884,1.04,2.45,8-Oct,6-Oct,114,22
432,NHACOONGO,III,32,CML435,MOZL8,CML435 x MOZL8,3.87,73,16,1798.5,1160.5,1.24,2.47,18-Oct,16-Oct,123,29
433,NHACOONGO,III,26,CML439,MOZL7,CML439 x MOZL7,5.49,103,23,2998.5,2369,1.08,2.34,17-Oct,15-Oct,172,31
434,NHACOONGO,III,2,CML366,MOZL3,CML366 x MOZL3,5.51,103,23,2519,2378,1.33,2.68,16-Oct,13-Oct,154,23
435,NHACOONGO,III,27,CML530,MOZL7,CML530 x MOZL7,10.66,200,20,4636,3998,1.88,2.73,18-Oct,15-Oct,230,65
436,NHACOONGO,III,18,CML435,MOZL6,CML435 x MOZL6,5.98,112,19,2328,2129.5,1.05,2.72,12-Oct,11-Oct,107,15
437,NHACOONGO,III,36,CML364,MOZL9,CML364 x MOZL9,6.16,115,20,2240,2309.5,1.27,2.84,13-Oct,11-Oct,146,21
438,NHACOONGO,III,38,CML434,MOZL9,CML434 x MOZL9,3.62,68,25,2035.5,1697,1.29,2.84,15-Oct,13-Oct,105,22
439,NHACOONGO,III,10,CML434,MOZL5,CML434 x MOZL5,7.06,132,22,3422.5,2912,1.24,2.7,10-Oct,8-Oct,128,27
440,NHACOONGO,III,4,CML435,MOZL3,CML435 x MOZL3,6.47,121,16,2166.5,1939.5,1.27,2.84,11-Oct,6-Oct,127,21
441,NHACOONGO,III,41,CML530,MOZL9,CML530 x MOZL9,2.66,50,24,1771,1197,1.14,2.67,12-Oct,8-Oct,77,15
442,NHACOONGO,III,33,CML439,MOZL8,CML439 x MOZL8,5.87,110,24,2990.5,2639.5,1.23,2.84,6-Oct,4-Oct,139,21
443,NHACOONGO,III,43,CML364,MOZL10,CML364 x MOZL10,4.86,91,21,2321,1913,1.38,2.63,12-Oct,11-Oct,142,23
444,NHACOONGO,III,1,CML364,MOZL3,CML364 x MOZL3,5,94,20,2010.5,1875,1.4,2.36,16-Oct,14-Oct,138,22
445,NHACOONGO,III,17,CML434,MOZL6,CML434 x MOZL6,3.01,56,27,1553,1525,1.13,2.48,14-Oct,11-Oct,162,36
446,NHACOONGO,III,46,CML435,MOZL10,CML435 x MOZL10,3.03,57,29,1470.5,1646,1.17,3.11,9-Oct,6-Oct,93,15
447,NHACOONGO,III,8,CML364,MOZL5,CML364 x MOZL5,4.77,89,22,2230,1968.5,1.26,3.09,15-Oct,12-Oct,96,20
448,NHACOONGO,III,31,CML434,MOZL8,CML434 x MOZL8,4.77,89,27,2594.5,2413.5,1.22,3.12,9-Oct,6-Oct,85,12
449,NHACOONGO,III,0,Check,Check,NAMULONGUE,4.09,76.5,12.5,1285.5,964,1.18,3.15,10-Oct,7-Oct,151.5,27
450,NHACOONGO,III,23,CML366,MOZL7,CML366 x MOZL7,3.69,69,26,1786,1799.5,1.22,3.06,15-Oct,12-Oct,85,23
451,SUSSUNDENGA,I,45,CML434,MOZL10,CML434 x MOZL10,6.32,118,22,3295,2605,1.79,3.31,16-Oct,21-Oct,117,10
452,SUSSUNDENGA,I,2,CML366,MOZL3,CML366 x MOZL3,8.36,157,24,4665,3760,1.97,3.37,16-Oct,21-Oct,132,10
453,SUSSUNDENGA,I,37,CML366,MOZL9,CML366 x MOZL9,6.75,127,26,3895,3290,1.74,3.34,14-Oct,16-Oct,68,11
454,SUSSUNDENGA,I,16,CML366,MOZL6,CML366 x MOZL6,8.52,160,21,4020,3355,1.72,3.42,15-Oct,16-Oct,104,24
455,SUSSUNDENGA,I,26,CML439,MOZL7,CML439 x MOZL7,7.35,138,23,3975,3171,1.61,3.04,16-Oct,18-Oct,115,12
456,SUSSUNDENGA,I,40,CML439,MOZL9,CML439 x MOZL9,6.71,126,22,3565,2767,1.46,2.9,17-Oct,22-Oct,72,10
457,SUSSUNDENGA,I,7,CML532,MOZL3,CML532 x MOZL3,6.75,127,23,3690,2911,1.51,2.66,28-Oct,28-Oct,71,13
458,SUSSUNDENGA,I,28,CML532,MOZL7,CML532 x MOZL7,8.52,160,22,4455,3515,1.66,2.89,31-Oct,31-Oct,136,26
459,SUSSUNDENGA,I,10,CML434,MOZL5,CML434 x MOZL5,6.65,125,21,3185,2620,1.5,2.97,26-Oct,31-Oct,165,26
460,SUSSUNDENGA,I,19,CML439,MOZL6,CML439 x MOZL6,5.68,106,23,3010,2448,1.33,2.3,26-Oct,31-Oct,118,29
461,SUSSUNDENGA,I,35,CML532,MOZL8,CML532 x MOZL8,5.69,107,17,2325,1814,1.26,2.33,24-Oct,29-Oct,48,10
462,SUSSUNDENGA,I,0,Check,Check,NAMULONGUE,6.03,113,18,2560,2035,1.5,2.28,29-Oct,31-Oct,127,16
463,SUSSUNDENGA,I,29,CML364,MOZL8,CML364 x MOZL8,4.62,87,19,2115,1647,1.15,3.01,1-Nov,3-Nov,53,8
464,SUSSUNDENGA,I,14,CML532,MOZL5,CML532 x MOZL5,4.19,79,20,1875,1570,1.26,2.77,31-Oct,4-Nov,39,6
465,SUSSUNDENGA,I,48,CML530,MOZL10,CML530 x MOZL10,7.96,149,13,2430,1941,1.28,2.73,3-Nov,5-Nov,67,8
466,SUSSUNDENGA,I,30,CML366,MOZL8,CML366 x MOZL8,6.27,117,21,2975,2467,1.21,2.27,1-Nov,4-Nov,80,10
467,SUSSUNDENGA,I,4,CML435,MOZL3,CML435 x MOZL3,3.53,66,13,1295,860,1.14,2.65,1-Nov,6-Nov,41,6
468,SUSSUNDENGA,I,17,CML434,MOZL6,CML434 x MOZL6,5.4,101,18,2215,1821,1.35,3.13,29-Oct,1-Nov,50,6
469,SUSSUNDENGA,I,9,CML366,MOZL5,CML366 x MOZL5,6.44,121,21,2995,2535,1.78,2.96,25-Oct,29-Oct,67,12
470,SUSSUNDENGA,I,43,CML364,MOZL10,CML364 x MOZL10,8.05,151,16,2995,2415,1.39,3.03,20-Oct,25-Oct,96,11
471,SUSSUNDENGA,I,13,CML530,MOZL5,CML530 x MOZL5,4.08,76,24,2320,1835,1.35,2.86,26-Oct,29-Oct,52,8
472,SUSSUNDENGA,I,32,CML435,MOZL8,CML435 x MOZL8,5.19,97,18,2075,1753,1.36,2.4,25-Oct,28-Oct,65,10
473,SUSSUNDENGA,I,22,CML364,MOZL7,CML364 x MOZL7,7.91,148,18,3230,2670,1.41,2.9,19-Oct,22-Oct,147,30
474,SUSSUNDENGA,I,39,CML435,MOZL9,CML435 x MOZL9,5.55,104,23,2825,2395,1.37,1.97,25-Oct,25-Oct,55,8
475,SUSSUNDENGA,I,47,CML439,MOZL10,CML439 x MOZL10,6.33,119,16,2405,1900,1.42,1.94,22-Oct,25-Oct,132,10
476,SUSSUNDENGA,I,25,CML435,MOZL7,CML435 x MOZL7,7.82,147,18,3030,2639,1.58,3,25-Oct,25-Oct,65,8
477,SUSSUNDENGA,I,49,CML532,MOZL10,CML532 x MOZL10,7.56,142,19,3535,2692,1.48,2.9,26-Oct,28-Oct,138,23
478,SUSSUNDENGA,I,36,CML364,MOZL9,CML364 x MOZL9,4.49,84,24,3185,2020,1.48,2.43,25-Oct,25-Oct,74,10
479,SUSSUNDENGA,I,5,CML439,MOZL3,CML439 x MOZL3,5.83,109,21,2809,2295,1.57,2.93,19-Oct,28-Oct,58,9
480,SUSSUNDENGA,I,41,CML530,MOZL9,CML530 x MOZL9,9.56,179,17,3685,3046,1.52,2.86,14-Oct,16-Oct,137,23
481,SUSSUNDENGA,I,15,CML364,MOZL6,CML364 x MOZL6,7.98,150,20,3519,2991,1.75,3.37,17-Oct,24-Oct,213,26
